InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
500008,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2011-03-12 21:55:00,3.75,15529,France
500008,M,MANUAL,12,2010-03-07 11:43:00,0.85,,Belgium
500008,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,2010-08-06 08:33:00,2.1,13817,Belgium
500009,POST,POSTAGE,18,2010-03-03 15:36:00,0.85,17288,Netherlands
500009,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2011-01-11 16:00:00,39.9,12858,United Kingdom
500009,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-01-14 12:27:00,8.5,17228,Portugal
500010,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-11-08 16:20:00,0.85,,Australia
500010,21730,glass star frosted t-light holder,7,2010-01-28 11:13:00,3.75,15419,Australia
500010,POST,POSTAGE,6,2011-06-09 08:08:00,3.75,12903,Portugal
500011,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2011-05-28 09:21:00,24.5,17650,Belgium
500011,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-05-17 21:32:00,0.85,15669,Australia
500011,47566,PARTY BUNTING,7,2010-03-23 19:02:00,2.1,,Sweden
500012,85099B,JUMBO BAG RED RETROSPOT,13,2011-10-14 20:47:00,8.5,14690,Germany
500012,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-11-08 18:26:00,5.95,12887,Netherlands
500012,84029E,RED WOOLLY HOTTIE WHITE HEART.,10,2010-04-27 21:12:00,5.95,17627,Sweden
500013,DOT,DOTCOM POSTAGE,10,2010-07-25 16:20:00,1.25,14705,Netherlands
500013,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2011-10-08 19:48:00,2.1,,Sweden
500013,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2010-01-11 22:06:00,18.9,15658,Spain
500014,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-12-24 17:42:00,12.75,12664,Germany
500014,22720,SET OF 3 CAKE TINS PANTRY DESIGN,16,2011-08-28 13:06:00,24.5,17484,France
500014,POST,POSTAGE,5,2011-09-15 10:19:00,24.5,13179,Belgium
500015,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2010-05-29 14:10:00,1.25,,Spain
500015,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-08-14 11:07:00,39.9,16631,Germany
500015,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-04-12 13:19:00,0.85,17536,Australia
500016,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-04-11 16:02:00,2.1,16088,Germany
500016,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-04-08 17:13:00,39.9,12446,Netherlands
500016,22423,REGENCY CAKESTAND 3 TIER,18,2010-05-18 11:05:00,24.5,,Germany
500017,71053,WHITE METAL LANTERN,11,2010-04-02 11:55:00,12.75,13256,Switzerland
500017,22423,REGENCY CAKESTAND 3 TIER,16,2010-07-01 08:02:00,8.5,17648,United Kingdom
500017,M,MANUAL,4,2010-12-13 14:36:00,18.9,15303,Portugal
500018,71053,WHITE METAL LANTERN,1,2010-12-23 15:23:00,3.75,16677,France
500018,M,MANUAL,3,,18.9,,Belgium
500018,22423,REGENCY CAKESTAND 3 TIER,4,2010-07-17 18:02:00,1.25,14495,United Kingdom
500019,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-08-31 16:23:00,8.5,13972,Netherlands
500019,71053,WHITE METAL LANTERN,4,2011-07-23 09:47:00,39.9,17786,Belgium
500019,DOT,DOTCOM POSTAGE,14,2011-07-11 19:18:00,0.85,16320,United Kingdom
500020,POST,POSTAGE,5,2010-04-04 11:34:00,5.95,,Belgium
500020,M,MANUAL,11,2010-12-04 18:24:00,5.95,15433,France
500020,DOT,DOTCOM POSTAGE,18,2010-08-16 21:57:00,12.75,16891,Australia
500021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-01-19 12:20:00,2.1,13079,Portugal
500021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2011-05-14 17:42:00,39.9,17967,Portugal
500021,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2010-06-20 17:10:00,8.5,,Germany
500022,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-11-17 20:09:00,18.9,16864,Spain
500022,22423,REGENCY CAKESTAND 3 TIER,11,2011-08-08 13:58:00,24.5,17458,Belgium
500022,TEST001,TEST PRODUCT,11,2011-03-18 11:02:00,0.85,17819,Portugal
500023,22423,REGENCY CAKESTAND 3 TIER,7,2010-06-11 17:10:00,2.1,16178,Germany
500023,22423,REGENCY CAKESTAND 3 TIER,14,2011-11-30 21:51:00,8.5,,Switzerland
500023,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-07-06 21:11:00,24.5,15166,Germany
500024,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-05-03 13:34:00,0.85,17772,Australia
500024,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2010-09-28 15:42:00,12.75,17394,United Kingdom
500024,84406B,CREAM CUPID HEARTS COAT HANGER,16,2011-06-13 09:39:00,3.75,13037,Netherlands
500025,84879,ASSORTED COLOUR BIRD ORNAMENT,4,2010-11-18 14:07:00,39.9,,Portugal
500025,85099B,JUMBO BAG RED RETROSPOT,11,2011-09-07 08:54:00,0.85,18134,France
500025,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,22/12/2010 08:23,24.5,12749,Belgium
500026,DOT,DOTCOM POSTAGE,7,2010-09-28 22:38:00,5.95,12935,Netherlands
500026,TEST001,TEST PRODUCT,8,2010-01-28 14:29:00,39.9,12916,France
500026,POST,POSTAGE,2,2011-05-01 17:13:00,0.85,,Australia
500027,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-08-05 20:36:00,1.25,16777,Portugal
500027,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2010-12-12 10:58:00,3.75,17929,Sweden
500027,M,MANUAL,2,2010-06-18 16:39:00,8.5,15664,Netherlands
500028,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2010-04-15 22:33:00,2.1,13379,Australia
500028,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2011-11-12 16:31:00,18.9,,United Kingdom
500028,84029E,RED WOOLLY HOTTIE WHITE HEART.,5,2011-11-27 19:28:00,39.9,15901,Australia
500029,M,MANUAL,6,2011-02-24 19:03:00,18.9,14840,Australia
500029,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-08-15 22:59:00,0.85,16143,Portugal
500029,TEST001,TEST PRODUCT,13,2010-09-14 12:41:00,39.9,17965,Portugal
500030,M,MANUAL,8,2011-09-10 20:23:00,1.25,,France
500030,47566,PARTY BUNTING,16,2010-04-08 12:52:00,8.5,17573,United Kingdom
500030,47566,PARTY BUNTING,16,2010-08-06 18:20:00,18.9,13993,Australia
500031,22423,REGENCY CAKESTAND 3 TIER,3,2010-05-18 21:01:00,1.25,13703,Germany
500031,M,MANUAL,16,2010-10-04 10:07:00,3.75,15398,Germany
500031,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-09-10 11:38:00,0.85,,France
500032,DOT,DOTCOM POSTAGE,4,2011-07-13 17:44:00,5.95,16334,France
500032,DOT,DOTCOM POSTAGE,15,2010-06-29 21:46:00,1.25,15683,Sweden
500032,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2010-06-11 19:45:00,3.75,15725,Australia
500033,22423,REGENCY CAKESTAND 3 TIER,2,2010-03-24 12:52:00,5.95,13946,Germany
500033,22423,REGENCY CAKESTAND 3 TIER,7,2011-05-21 18:19:00,39.9,,Spain
C500033,TEST001,TEST PRODUCT,9,2011-09-11 14:38:00,5.95,13978,Switzerland
500034,84029E,RED WOOLLY HOTTIE WHITE HEART.,9,2010-10-23 14:00:00,24.5,13292,Spain
500034,DOT,DOTCOM POSTAGE,11,2010-05-25 21:32:00,3.75,16883,Portugal
500034,71053,WHITE METAL LANTERN,15,2011-10-23 15:49:00,1.25,16252,Germany
500035,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,2010-06-18 10:22:00,0.85,,United Kingdom
500035,84029E,RED WOOLLY HOTTIE WHITE HEART.,17,2011-03-30 12:43:00,5.95,17484,United Kingdom
500035,TEST001,TEST PRODUCT,5,2011-01-23 22:42:00,0.85,14117,Portugal
500036,TEST001,TEST PRODUCT,15,2011-09-14 10:01:00,12.75,15438,France
500036,47566,PARTY BUNTING,16,2011-06-11 10:40:00,3.75,12509,Spain
500036,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2010-01-09 10:53:00,39.9,,Spain
500037,85099B,JUMBO BAG RED RETROSPOT,5,2011-08-06 11:50:00,0.85,15699,Australia
500037,POST,POSTAGE,5,2010-12-24 14:42:00,8.5,14088,Belgium
500037,POST,POSTAGE,-5,2011-04-10 20:13:00,5.95,14388,Belgium
500038,POST,POSTAGE,1,2011-05-19 18:03:00,1.25,13995,France
500038,71053,WHITE METAL LANTERN,6,2010-10-31 19:14:00,1.25,,Spain
500038,M,MANUAL,3,2010-07-05 17:33:00,3.75,17043,Spain
500039,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2011-07-11 20:02:00,18.9,17811,France
500039,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-04-24 16:06:00,5.95,16241,France
500039,22423,REGENCY CAKESTAND 3 TIER,5,2010-09-11 13:23:00,8.5,15166,Netherlands
500040,M,MANUAL,17,2010-12-18 15:09:00,12.75,,Netherlands
500040,M,MANUAL,14,2011-03-04 14:51:00,2.1,15677,France
500040,DOT,DOTCOM POSTAGE,4,2011-02-17 13:19:00,18.9,13710,Belgium
500041,22423,REGENCY CAKESTAND 3 TIER,3,2010-09-01 10:32:00,5.95,13677,Germany
500041,DOT,DOTCOM POSTAGE,2,2011-08-07 17:43:00,3.75,17333,France
500041,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-06-27 13:08:00,8.5,,Belgium
500042,22423,REGENCY CAKESTAND 3 TIER,6,2011-03-14 11:58:00,5.95,17580,Belgium
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2010-10-08 15:13:00,39.9,16800, spain 
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-06-06 14:46:00,0.85,17855,France
500043,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2010-10-02 17:35:00,2.1,13624,United Kingdom
500043,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-10-31 22:49:00,1.25,,Belgium
500043,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-02-28 09:38:00,8.5,12418,Germany
500044,22423,REGENCY CAKESTAND 3 TIER,13,2010-02-06 21:59:00,12.75,17619,France
500044,DOT,DOTCOM POSTAGE,2,2010-02-27 11:32:00,18.9,16810,United Kingdom
500044,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-02-15 09:27:00,24.5,14169,Australia
500045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2010-01-29 10:22:00,24.5,,Belgium
500045,DOT,DOTCOM POSTAGE,10,2010-06-25 08:36:00,1.25,15450,France
500045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-11-20 21:31:00,0.85,17185,Portugal
500046,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2010-06-28 11:55:00,39.9,15551,Switzerland
500046,85099B,JUMBO BAG RED RETROSPOT,9,2010-01-12 18:37:00,5.95,13778,Germany
500046,22423,REGENCY CAKESTAND 3 TIER,11,2010-04-09 10:17:00,3.75,,France
500047,22720,SET OF 3 CAKE TINS PANTRY DESIGN,18,2011-07-27 10:28:00,12.75,16755,Belgium
500047,M,MANUAL,7,2010-12-17 18:16:00,18.9,16364,United Kingdom
500047,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2010-05-22 22:31:00,39.9,17591,Netherlands
500048,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-04-14 21:21:00,0.85,13828,Switzerland
500048,22423,REGENCY CAKESTAND 3 TIER,14,2011-08-14 10:52:00,2.1,,United Kingdom
500048,22423,REGENCY CAKESTAND 3 TIER,12,2011-02-22 22:26:00,3.75,16688,Sweden
500049,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-09-20 15:40:00,8.5,12782,Belgium
500049,DOT,DOTCOM POSTAGE,1,2011-05-02 13:12:00,3.75,16697,Australia
500049,TEST001,TEST PRODUCT,9,2011-06-15 17:15:00,0.0,17632,Spain
500050,POST,POSTAGE,2,2011-12-01 20:32:00,8.5,,Germany
500050,22423,REGENCY CAKESTAND 3 TIER,13,2011-01-04 22:03:00,5.95,14711,Portugal
500050,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-03-29 13:25:00,12.75,14157,Switzerland
500051,POST,POSTAGE,1,2010-10-23 15:44:00,8.5,16700,Sweden
500051,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-02-05 13:21:00,8.5,17120,France
500051,22720,SET OF 3 CAKE TINS PANTRY DESIGN,14,2010-05-21 13:39:00,24.5,,Spain
500052,22423,REGENCY CAKESTAND 3 TIER,8,2011-10-22 12:06:00,3.75,16917,Spain
500052,22423,REGENCY CAKESTAND 3 TIER,12,2010-02-25 20:24:00,2.1,17051,Netherlands
500052,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-01-29 20:06:00,0.85,17261,Sweden
500053,22720,SET OF 3 CAKE TINS PANTRY DESIGN,10,2011-08-20 21:08:00,24.5,15794,Netherlands
500053,DOT,DOTCOM POSTAGE,10,2010-07-11 16:07:00,3.75,,Australia
500053,84406B,CREAM CUPID HEARTS COAT HANGER,16,2010-10-22 22:05:00,8.5,13848,Sweden
500054,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2010-05-04 19:13:00,5.95,15506,Sweden
500054,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2010-01-08 16:44:00,2.1,13566,Netherlands
500054,TEST001,TEST PRODUCT,9,2010-04-23 10:37:00,24.5,16383,Switzerland
500055,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2010-12-29 17:23:00,18.9,,United Kingdom
500055,22423,REGENCY CAKESTAND 3 TIER,6,2011-04-06 19:28:00,39.9,15286,Portugal
500055,84029E,RED WOOLLY HOTTIE WHITE HEART.,11,2011-06-07 16:08:00,12.75,14722,Australia
500056,22423,REGENCY CAKESTAND 3 TIER,4,2011-01-27 15:05:00,12.75,17088,Switzerland
500056,TEST001,TEST PRODUCT,2,2011-07-13 10:23:00,18.9,14133,Sweden
500056,POST,POSTAGE,5,2011-06-25 20:31:00,8.5,,Portugal
500057,71053,WHITE METAL LANTERN,17,2011-07-01 10:57:00,2.1,14560,Sweden
500057,85099B,JUMBO BAG RED RETROSPOT,2,2010-09-17 12:33:00,0.85,12731,Switzerland
500057,47566,PARTY BUNTING,3,2011-04-02 09:56:00,-1.0,15293,Spain
500058,22423,REGENCY CAKESTAND 3 TIER,3,2010-12-12 11:42:00,5.95,17604,Netherlands
500058,22720,SET OF 3 CAKE TINS PANTRY DESIGN,9,2011-07-27 10:31:00,5.95,,Portugal
500058,22423,REGENCY CAKESTAND 3 TIER,18,2011-11-19 09:55:00,2.1,14129,Belgium
500059,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-06-09 19:15:00,8.5,16644,Spain
500059,POST,POSTAGE,5,2011-01-01 10:21:00,1.25,18174,United Kingdom
500059,22423,REGENCY CAKESTAND 3 TIER,13,2010-06-11 08:20:00,8.5,17751,Germany
500060,71053,WHITE METAL LANTERN,12,2010-11-20 16:07:00,3.75,,Switzerland
500060,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-03-29 19:13:00,18.9,16862,Germany
500060,22423,REGENCY CAKESTAND 3 TIER,18,2010-03-06 09:29:00,18.9,17474,Australia
500061,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-05-12 20:40:00,24.5,15117,Netherlands
500061,47566,PARTY BUNTING,8,2011-04-03 13:42:00,2.1,13705,Spain
500061,47566,PARTY BUNTING,1,2010-07-25 17:56:00,18.9,,Netherlands
500062,47566,PARTY BUNTING,7,2010-01-05 15:45:00,12.75,15521,Australia
500062,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2011-04-25 21:36:00,5.95,15677,Switzerland
500062,POST,POSTAGE,4,2010-03-20 09:43:00,2.1,17993,Netherlands
500063,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2011-01-26 16:23:00,2.1,13027,France
500063,84406B,CREAM CUPID HEARTS COAT HANGER,7,2010-06-09 15:14:00,8.5,,France
500063,22423,REGENCY CAKESTAND 3 TIER,8,2011-05-24 13:09:00,18.9,14607,Germany
500064,M,MANUAL,16,2010-11-26 19:47:00,24.5,16173,France
500064,71053,WHITE METAL LANTERN,1,2010-04-23 22:01:00,1.25,13253,United Kingdom
500064,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2010-07-20 15:39:00,12.75,17556,Australia
500065,22423,REGENCY CAKESTAND 3 TIER,4,2011-06-27 16:51:00,39.9,,Belgium
500065,84029E,RED WOOLLY HOTTIE WHITE HEART.,11,2011-09-21 11:27:00,1.25,12772,Sweden
500065,M,MANUAL,11,2011-05-29 13:39:00,24.5,12832,Sweden
500066,47566,PARTY BUNTING,6,2011-06-22 13:01:00,8.5,17158,Belgium
500066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-27 09:22:00,18.9,13701,United Kingdom
500066,21730,GLASS STAR FROSTED T-LIGHT HOLDER,9,2011-11-15 08:40:00,1.25,,United Kingdom
500067,DOT,DOTCOM POSTAGE,7,2011-09-01 22:05:00,24.5,13244,Belgium
C500067,DOT,DOTCOM POSTAGE,7,2011-01-03 15:32:00,18.9,17857,United Kingdom
500067,47566,PARTY BUNTING,7,2011-01-09 22:16:00,1.25,16604,United Kingdom
500068,DOT,DOTCOM POSTAGE,5,2010-12-10 12:47:00,3.75,13633,Belgium
500068,85099B,JUMBO BAG RED RETROSPOT,5,2010-02-02 17:39:00,12.75,,Netherlands
500068,M,MANUAL,11,2011-06-24 16:38:00,1.25,15259,United Kingdom
500069,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-11-03 11:49:00,12.75,16121,Switzerland
500069,71053,WHITE METAL LANTERN,17,2011-05-15 08:01:00,3.75,18236,Portugal
500069,22720,SET OF 3 CAKE TINS PANTRY DESIGN,17,2010-05-17 10:13:00,18.9,15332,Belgium
500070,21730,GLASS STAR FROSTED T-LIGHT HOLDER,1,2011-02-15 11:55:00,0.85,,Portugal
500070,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2011-01-04 22:59:00,8.5,15869,United Kingdom
500070,POST,POSTAGE,4,2010-12-03 20:56:00,8.5,16284,Belgium
500071,22423,REGENCY CAKESTAND 3 TIER,1,2011-11-05 17:45:00,18.9,18012,France
500071,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2010-06-12 22:15:00,39.9,17677,Portugal
500071,POST,POSTAGE,3,2011-09-27 13:30:00,5.95,,Belgium
500072,TEST001,TEST PRODUCT,9,2011-06-27 13:46:00,2.1,13923,Belgium
500072,71053,WHITE METAL LANTERN,13,2011-03-14 10:44:00,1.25,17934,France
500072,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2010-11-17 22:38:00,3.75,14369,Belgium
500073,M,MANUAL,13,2010-04-01 08:20:00,24.5,14011,Germany
500073,84406B,CREAM CUPID HEARTS COAT HANGER,4,2011-04-07 10:06:00,2.1,,France
500073,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-02-24 14:31:00,18.9,14312,United Kingdom
500074,47566,PARTY BUNTING,5,2010-08-09 18:19:00,2.1,12820,United Kingdom
500074,DOT,DOTCOM POSTAGE,3,2010-10-13 21:27:00,2.1,17588,Spain
500074,POST,POSTAGE,15,2010-04-23 09:12:00,39.9,14523,United Kingdom
500075,21730,GLASS STAR FROSTED T-LIGHT HOLDER,5,2010-01-02 12:27:00,0.85,,Australia
500075,22720,SET OF 3 CAKE TINS PANTRY DESIGN,-1,2011-07-15 08:32:00,24.5,18111,Belgium
500075,85099B,JUMBO BAG RED RETROSPOT,2,2010-03-02 16:49:00,24.5,13141,Spain
500076,47566,PARTY BUNTING,2,2011-02-01 22:56:00,0.85,14377,Switzerland
500076,POST,POSTAGE,9,2010-09-02 19:16:00,39.9,12564,Switzerland
500076,TEST001,TEST PRODUCT,10,2010-03-21 17:02:00,0.85,,Portugal
500077,POST,POSTAGE,9,2010-10-04 19:23:00,2.1,16329,Sweden
500077,POST,POSTAGE,4,2010-03-12 09:22:00,18.9,13454,Netherlands
500077,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-04-10 17:39:00,3.75,15187,Australia
500078,M,MANUAL,14,2011-12-01 20:58:00,1.25,15509,Sweden
500078,TEST001,TEST PRODUCT,8,2011-10-15 08:40:00,39.9,,Spain
500078,47566,PARTY BUNTING,4,2011-05-05 10:00:00,5.95,14167,Switzerland
500079,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2011-05-12 22:54:00,39.9,13943,Switzerland
500079,84406B,CREAM CUPID HEARTS COAT HANGER,18,2011-10-26 10:37:00,3.75,14372,Netherlands
500079,POST,POSTAGE,13,2010-01-21 12:55:00,39.9,17965,United Kingdom
500080,85099B,JUMBO BAG RED RETROSPOT,4,2010-07-09 13:54:00,24.5,,Spain
500080,POST,POSTAGE,5,2011-04-17 10:23:00,8.5,17551,Sweden
500080,TEST001,test product,18,2011-04-05 22:19:00,3.75,16313,Australia
500081,22423,REGENCY CAKESTAND 3 TIER,1,2011-07-27 19:53:00,18.9,16166,Spain
500081,TEST001,TEST PRODUCT,16,2011-10-16 22:04:00,0.85,16940,Belgium
500081,M,MANUAL,11,2010-08-23 21:23:00,8.5,,Sweden
500082,22423,REGENCY CAKESTAND 3 TIER,16,2011-06-30 20:41:00,3.75,15837,Germany
500082,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-10-13 14:54:00,39.9,13537,Spain
500082,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2010-02-17 11:52:00,5.95,13418,Spain
500083,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2010-04-13 14:30:00,1.25,16537,Sweden
500083,TEST001,TEST PRODUCT,3,2011-07-28 19:19:00,1.25,,United Kingdom
500083,POST,POSTAGE,3,2011-07-15 21:35:00,1.25,13481,Spain
500084,22423,REGENCY CAKESTAND 3 TIER,7,2011-02-21 17:25:00,5.95,13162,Netherlands
500084,85099B,JUMBO BAG RED RETROSPOT,16,2010-10-21 14:48:00,24.5,17289,Netherlands
500084,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-11-09 12:55:00,1.25,17190, sweden 
500085,85099B,JUMBO BAG RED RETROSPOT,12,2011-09-14 11:44:00,5.95,,Sweden
500085,47566,PARTY BUNTING,8,2010-11-13 21:00:00,18.9,16344,Australia
500085,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-05-21 21:33:00,39.9,17415,Netherlands
500086,84029E,RED WOOLLY HOTTIE WHITE HEART.,17,2010-03-27 13:21:00,0.85,12830,Spain
500086,DOT,DOTCOM POSTAGE,8,2011-03-27 14:40:00,8.5,13243,Sweden
500086,85099B,JUMBO BAG RED RETROSPOT,5,2010-12-22 15:10:00,18.9,,Germany
500087,M,MANUAL,17,2010-05-21 10:38:00,0.85,14506,Germany
500087,22423,REGENCY CAKESTAND 3 TIER,8,2011-11-30 12:09:00,2.1,13579,Australia
500087,84406B,CREAM CUPID HEARTS COAT HANGER,10,2010-05-06 12:51:00,12.75,12900,Portugal
500088,71053,WHITE METAL LANTERN,3,2010-06-28 09:23:00,3.75,15361,Netherlands
500088,DOT,DOTCOM POSTAGE,12,2011-03-31 19:35:00,3.75,,Switzerland
500088,84406B,CREAM CUPID HEARTS COAT HANGER,13,2010-09-28 10:59:00,3.75,12399,United Kingdom
500089,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-11-13 11:49:00,3.75,17692,Australia
500089,M,MANUAL,7,2010-06-03 16:38:00,1.25,17014,Belgium
500089,85099B,JUMBO BAG RED RETROSPOT,4,2010-04-01 10:54:00,18.9,16324,United Kingdom
500090,M,MANUAL,7,2010-08-30 13:37:00,2.1,,Portugal
500090,POST,POSTAGE,1,2011-05-25 21:37:00,2.1,14111,Netherlands
500090,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-09-28 14:44:00,5.95,15810,Belgium
500091,22423,REGENCY CAKESTAND 3 TIER,5,2010-06-15 19:03:00,24.5,12522,United Kingdom
500091,71053,WHITE METAL LANTERN,13,2011-08-30 16:16:00,24.5,14720,Spain
500091,DOT,DOTCOM POSTAGE,15,2010-01-08 10:48:00,24.5,,Spain
500092,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-19 20:30:00,5.95,13711,Belgium
500092,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-04-02 13:25:00,3.75,17004,Switzerland
500092,POST,POSTAGE,17,2011-03-22 17:42:00,2.1,13578,United Kingdom
500093,POST,POSTAGE,4,2011-06-04 17:40:00,12.75,16447,Switzerland
