InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Revenue
500007,71053,WHITE METAL LANTERN,15,2010-09-29 20:52:00,3.75,16609,Australia,56.25
500007,85099B,JUMBO BAG RED RETROSPOT,6,2011-01-26 12:35:00,5.95,17427,United Kingdom,35.7
500008,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2011-03-12 21:55:00,3.75,15529,France,56.25
500008,22720,SET OF 3 CAKE TINS PANTRY DESIGN,8,2010-08-06 08:33:00,2.1,13817,Belgium,16.8
500009,POST,POSTAGE,18,2010-03-03 15:36:00,0.85,17288,Netherlands,15.3
500009,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2011-01-11 16:00:00,39.9,12858,United Kingdom,518.7
500009,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-01-14 12:27:00,8.5,17228,Portugal,136.0
500010,21730,GLASS STAR FROSTED T-LIGHT HOLDER,7,2010-01-28 11:13:00,3.75,15419,Australia,26.25
500010,POST,POSTAGE,6,2011-06-09 08:08:00,3.75,12903,Portugal,22.5
500011,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2011-05-28 09:21:00,24.5,17650,Belgium,343.0
500011,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-05-17 21:32:00,0.85,15669,Australia,9.35
500012,85099B,JUMBO BAG RED RETROSPOT,13,2011-10-14 20:47:00,8.5,14690,Germany,110.5
500012,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-11-08 18:26:00,5.95,12887,Netherlands,65.45
500012,84029E,RED WOOLLY HOTTIE WHITE HEART.,10,2010-04-27 21:12:00,5.95,17627,Sweden,59.5
500013,DOT,DOTCOM POSTAGE,10,2010-07-25 16:20:00,1.25,14705,Netherlands,12.5
500013,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2010-01-11 22:06:00,18.9,15658,Spain,245.7
500014,84406B,CREAM CUPID HEARTS COAT HANGER,6,2010-12-24 17:42:00,12.75,12664,Germany,76.5
500014,22720,SET OF 3 CAKE TINS PANTRY DESIGN,16,2011-08-28 13:06:00,24.5,17484,France,392.0
500014,POST,POSTAGE,5,2011-09-15 10:19:00,24.5,13179,Belgium,122.5
500015,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-08-14 11:07:00,39.9,16631,Germany,159.6
500015,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-04-12 13:19:00,0.85,17536,Australia,13.6
500016,84406B,CREAM CUPID HEARTS COAT HANGER,12,2011-04-11 16:02:00,2.1,16088,Germany,25.2
500016,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-04-08 17:13:00,39.9,12446,Netherlands,239.4
500017,71053,WHITE METAL LANTERN,11,2010-04-02 11:55:00,12.75,13256,Switzerland,140.25
500017,22423,REGENCY CAKESTAND 3 TIER,16,2010-07-01 08:02:00,8.5,17648,United Kingdom,136.0
500017,M,MANUAL,4,2010-12-13 14:36:00,18.9,15303,Portugal,75.6
500018,71053,WHITE METAL LANTERN,1,2010-12-23 15:23:00,3.75,16677,France,3.75
500018,22423,REGENCY CAKESTAND 3 TIER,4,2010-07-17 18:02:00,1.25,14495,United Kingdom,5.0
500019,84879,ASSORTED COLOUR BIRD ORNAMENT,18,2011-08-31 16:23:00,8.5,13972,Netherlands,153.0
500019,71053,WHITE METAL LANTERN,4,2011-07-23 09:47:00,39.9,17786,Belgium,159.6
500019,DOT,DOTCOM POSTAGE,14,2011-07-11 19:18:00,0.85,16320,United Kingdom,11.9
500020,M,MANUAL,11,2010-12-04 18:24:00,5.95,15433,France,65.45
500020,DOT,DOTCOM POSTAGE,18,2010-08-16 21:57:00,12.75,16891,Australia,229.5
500021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,13,2011-01-19 12:20:00,2.1,13079,Portugal,27.3
500021,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2011-05-14 17:42:00,39.9,17967,Portugal,438.9
500022,84879,ASSORTED COLOUR BIRD ORNAMENT,2,2010-11-17 20:09:00,18.9,16864,Spain,37.8
500022,22423,REGENCY CAKESTAND 3 TIER,11,2011-08-08 13:58:00,24.5,17458,Belgium,269.5
500022,TEST001,TEST PRODUCT,11,2011-03-18 11:02:00,0.85,17819,Portugal,9.35
500023,22423,REGENCY CAKESTAND 3 TIER,7,2010-06-11 17:10:00,2.1,16178,Germany,14.7
500023,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2011-07-06 21:11:00,24.5,15166,Germany,147.0
500024,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2010-05-03 13:34:00,0.85,17772,Australia,10.2
500024,21730,GLASS STAR FROSTED T-LIGHT HOLDER,10,2010-09-28 15:42:00,12.75,17394,United Kingdom,127.5
500024,84406B,CREAM CUPID HEARTS COAT HANGER,16,2011-06-13 09:39:00,3.75,13037,Netherlands,60.0
500025,85099B,JUMBO BAG RED RETROSPOT,11,2011-09-07 08:54:00,0.85,18134,France,9.35
500025,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-22 08:23:00,24.5,12749,Belgium,196.0
500026,DOT,DOTCOM POSTAGE,7,2010-09-28 22:38:00,5.95,12935,Netherlands,41.65
500026,TEST001,TEST PRODUCT,8,2010-01-28 14:29:00,39.9,12916,France,319.2
500027,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2011-08-05 20:36:00,1.25,16777,Portugal,17.5
500027,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2010-12-12 10:58:00,3.75,17929,Sweden,48.75
500027,M,MANUAL,2,2010-06-18 16:39:00,8.5,15664,Netherlands,17.0
500028,84879,ASSORTED COLOUR BIRD ORNAMENT,14,2010-04-15 22:33:00,2.1,13379,Australia,29.4
500028,84029E,RED WOOLLY HOTTIE WHITE HEART.,5,2011-11-27 19:28:00,39.9,15901,Australia,199.5
500029,M,MANUAL,6,2011-02-24 19:03:00,18.9,14840,Australia,113.4
500029,84406B,CREAM CUPID HEARTS COAT HANGER,13,2011-08-15 22:59:00,0.85,16143,Portugal,11.05
500029,TEST001,TEST PRODUCT,13,2010-09-14 12:41:00,39.9,17965,Portugal,518.7
500030,47566,PARTY BUNTING,16,2010-04-08 12:52:00,8.5,17573,United Kingdom,136.0
500030,47566,PARTY BUNTING,16,2010-08-06 18:20:00,18.9,13993,Australia,302.4
500031,22423,REGENCY CAKESTAND 3 TIER,3,2010-05-18 21:01:00,1.25,13703,Germany,3.75
500031,M,MANUAL,16,2010-10-04 10:07:00,3.75,15398,Germany,60.0
500032,DOT,DOTCOM POSTAGE,4,2011-07-13 17:44:00,5.95,16334,France,23.8
500032,DOT,DOTCOM POSTAGE,15,2010-06-29 21:46:00,1.25,15683,Sweden,18.75
500032,84879,ASSORTED COLOUR BIRD ORNAMENT,7,2010-06-11 19:45:00,3.75,15725,Australia,26.25
500033,22423,REGENCY CAKESTAND 3 TIER,2,2010-03-24 12:52:00,5.95,13946,Germany,11.9
500034,84029E,RED WOOLLY HOTTIE WHITE HEART.,9,2010-10-23 14:00:00,24.5,13292,Spain,220.5
500034,DOT,DOTCOM POSTAGE,11,2010-05-25 21:32:00,3.75,16883,Portugal,41.25
500034,71053,WHITE METAL LANTERN,15,2011-10-23 15:49:00,1.25,16252,Germany,18.75
500035,84029E,RED WOOLLY HOTTIE WHITE HEART.,17,2011-03-30 12:43:00,5.95,17484,United Kingdom,101.15
500035,TEST001,TEST PRODUCT,5,2011-01-23 22:42:00,0.85,14117,Portugal,4.25
500036,TEST001,TEST PRODUCT,15,2011-09-14 10:01:00,12.75,15438,France,191.25
500036,47566,PARTY BUNTING,16,2011-06-11 10:40:00,3.75,12509,Spain,60.0
500037,85099B,JUMBO BAG RED RETROSPOT,5,2011-08-06 11:50:00,0.85,15699,Australia,4.25
500037,POST,POSTAGE,5,2010-12-24 14:42:00,8.5,14088,Belgium,42.5
500038,POST,POSTAGE,1,2011-05-19 18:03:00,1.25,13995,France,1.25
500038,M,MANUAL,3,2010-07-05 17:33:00,3.75,17043,Spain,11.25
500039,84879,ASSORTED COLOUR BIRD ORNAMENT,13,2011-07-11 20:02:00,18.9,17811,France,245.7
500039,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2011-04-24 16:06:00,5.95,16241,France,47.6
500039,22423,REGENCY CAKESTAND 3 TIER,5,2010-09-11 13:23:00,8.5,15166,Netherlands,42.5
500040,M,MANUAL,14,2011-03-04 14:51:00,2.1,15677,France,29.4
500040,DOT,DOTCOM POSTAGE,4,2011-02-17 13:19:00,18.9,13710,Belgium,75.6
500041,22423,REGENCY CAKESTAND 3 TIER,3,2010-09-01 10:32:00,5.95,13677,Germany,17.85
500041,DOT,DOTCOM POSTAGE,2,2011-08-07 17:43:00,3.75,17333,France,7.5
500042,22423,REGENCY CAKESTAND 3 TIER,6,2011-03-14 11:58:00,5.95,17580,Belgium,35.7
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2010-10-08 15:13:00,39.9,16800,Spain,718.2
500042,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-06-06 14:46:00,0.85,17855,France,11.05
500043,84879,ASSORTED COLOUR BIRD ORNAMENT,12,2010-10-02 17:35:00,2.1,13624,United Kingdom,25.2
500043,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,2010-02-28 09:38:00,8.5,12418,Germany,51.0
500044,22423,REGENCY CAKESTAND 3 TIER,13,2010-02-06 21:59:00,12.75,17619,France,165.75
500044,DOT,DOTCOM POSTAGE,2,2010-02-27 11:32:00,18.9,16810,United Kingdom,37.8
500044,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-02-15 09:27:00,24.5,14169,Australia,49.0
500045,DOT,DOTCOM POSTAGE,10,2010-06-25 08:36:00,1.25,15450,France,12.5
500045,85123A,WHITE HANGING HEART T-LIGHT HOLDER,18,2011-11-20 21:31:00,0.85,17185,Portugal,15.3
500046,21730,GLASS STAR FROSTED T-LIGHT HOLDER,14,2010-06-28 11:55:00,39.9,15551,Switzerland,558.6
500046,85099B,JUMBO BAG RED RETROSPOT,9,2010-01-12 18:37:00,5.95,13778,Germany,53.55
500047,22720,SET OF 3 CAKE TINS PANTRY DESIGN,18,2011-07-27 10:28:00,12.75,16755,Belgium,229.5
500047,M,MANUAL,7,2010-12-17 18:16:00,18.9,16364,United Kingdom,132.3
500047,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2010-05-22 22:31:00,39.9,17591,Netherlands,438.9
500048,21730,GLASS STAR FROSTED T-LIGHT HOLDER,2,2011-04-14 21:21:00,0.85,13828,Switzerland,1.7
500048,22423,REGENCY CAKESTAND 3 TIER,12,2011-02-22 22:26:00,3.75,16688,Sweden,45.0
500049,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2010-09-20 15:40:00,8.5,12782,Belgium,136.0
500049,DOT,DOTCOM POSTAGE,1,2011-05-02 13:12:00,3.75,16697,Australia,3.75
500050,22423,REGENCY CAKESTAND 3 TIER,13,2011-01-04 22:03:00,5.95,14711,Portugal,77.35
500050,84406B,CREAM CUPID HEARTS COAT HANGER,3,2011-03-29 13:25:00,12.75,14157,Switzerland,38.25
500051,POST,POSTAGE,1,2010-10-23 15:44:00,8.5,16700,Sweden,8.5
500051,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2010-02-05 13:21:00,8.5,17120,France,17.0
500052,22423,REGENCY CAKESTAND 3 TIER,8,2011-10-22 12:06:00,3.75,16917,Spain,30.0
500052,22423,REGENCY CAKESTAND 3 TIER,12,2010-02-25 20:24:00,2.1,17051,Netherlands,25.2
500052,84406B,CREAM CUPID HEARTS COAT HANGER,4,2010-01-29 20:06:00,0.85,17261,Sweden,3.4
500053,22720,SET OF 3 CAKE TINS PANTRY DESIGN,10,2011-08-20 21:08:00,24.5,15794,Netherlands,245.0
500053,84406B,CREAM CUPID HEARTS COAT HANGER,16,2010-10-22 22:05:00,8.5,13848,Sweden,136.0
500054,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2010-05-04 19:13:00,5.95,15506,Sweden,71.4
500054,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2010-01-08 16:44:00,2.1,13566,Netherlands,6.3
500054,TEST001,TEST PRODUCT,9,2010-04-23 10:37:00,24.5,16383,Switzerland,220.5
500055,22423,REGENCY CAKESTAND 3 TIER,6,2011-04-06 19:28:00,39.9,15286,Portugal,239.4
500055,84029E,RED WOOLLY HOTTIE WHITE HEART.,11,2011-06-07 16:08:00,12.75,14722,Australia,140.25
500056,22423,REGENCY CAKESTAND 3 TIER,4,2011-01-27 15:05:00,12.75,17088,Switzerland,51.0
500056,TEST001,TEST PRODUCT,2,2011-07-13 10:23:00,18.9,14133,Sweden,37.8
500057,71053,WHITE METAL LANTERN,17,2011-07-01 10:57:00,2.1,14560,Sweden,35.7
500057,85099B,JUMBO BAG RED RETROSPOT,2,2010-09-17 12:33:00,0.85,12731,Switzerland,1.7
500058,22423,REGENCY CAKESTAND 3 TIER,3,2010-12-12 11:42:00,5.95,17604,Netherlands,17.85
500058,22423,REGENCY CAKESTAND 3 TIER,18,2011-11-19 09:55:00,2.1,14129,Belgium,37.8
500059,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2011-06-09 19:15:00,8.5,16644,Spain,110.5
500059,POST,POSTAGE,5,2011-01-01 10:21:00,1.25,18174,United Kingdom,6.25
500059,22423,REGENCY CAKESTAND 3 TIER,13,2010-06-11 08:20:00,8.5,17751,Germany,110.5
500060,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,2010-03-29 19:13:00,18.9,16862,Germany,245.7
500060,22423,REGENCY CAKESTAND 3 TIER,18,2010-03-06 09:29:00,18.9,17474,Australia,340.2
500061,21730,GLASS STAR FROSTED T-LIGHT HOLDER,4,2010-05-12 20:40:00,24.5,15117,Netherlands,98.0
500061,47566,PARTY BUNTING,8,2011-04-03 13:42:00,2.1,13705,Spain,16.8
500062,47566,PARTY BUNTING,7,2010-01-05 15:45:00,12.75,15521,Australia,89.25
500062,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2011-04-25 21:36:00,5.95,15677,Switzerland,47.6
500062,POST,POSTAGE,4,2010-03-20 09:43:00,2.1,17993,Netherlands,8.4
500063,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2011-01-26 16:23:00,2.1,13027,France,6.3
500063,22423,REGENCY CAKESTAND 3 TIER,8,2011-05-24 13:09:00,18.9,14607,Germany,151.2
500064,M,MANUAL,16,2010-11-26 19:47:00,24.5,16173,France,392.0
500064,71053,WHITE METAL LANTERN,1,2010-04-23 22:01:00,1.25,13253,United Kingdom,1.25
500064,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2010-07-20 15:39:00,12.75,17556,Australia,191.25
500065,84029E,RED WOOLLY HOTTIE WHITE HEART.,11,2011-09-21 11:27:00,1.25,12772,Sweden,13.75
500065,M,MANUAL,11,2011-05-29 13:39:00,24.5,12832,Sweden,269.5
500066,47566,PARTY BUNTING,6,2011-06-22 13:01:00,8.5,17158,Belgium,51.0
500066,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,2011-02-27 09:22:00,18.9,13701,United Kingdom,37.8
500067,DOT,DOTCOM POSTAGE,7,2011-09-01 22:05:00,24.5,13244,Belgium,171.5
500067,47566,PARTY BUNTING,7,2011-01-09 22:16:00,1.25,16604,United Kingdom,8.75
500068,DOT,DOTCOM POSTAGE,5,2010-12-10 12:47:00,3.75,13633,Belgium,18.75
500068,M,MANUAL,11,2011-06-24 16:38:00,1.25,15259,United Kingdom,13.75
500069,21730,GLASS STAR FROSTED T-LIGHT HOLDER,12,2011-11-03 11:49:00,12.75,16121,Switzerland,153.0
500069,71053,WHITE METAL LANTERN,17,2011-05-15 08:01:00,3.75,18236,Portugal,63.75
500069,22720,SET OF 3 CAKE TINS PANTRY DESIGN,17,2010-05-17 10:13:00,18.9,15332,Belgium,321.3
500070,84029E,RED WOOLLY HOTTIE WHITE HEART.,15,2011-01-04 22:59:00,8.5,15869,United Kingdom,127.5
500070,POST,POSTAGE,4,2010-12-03 20:56:00,8.5,16284,Belgium,34.0
500071,22423,REGENCY CAKESTAND 3 TIER,1,2011-11-05 17:45:00,18.9,18012,France,18.9
500071,22720,SET OF 3 CAKE TINS PANTRY DESIGN,13,2010-06-12 22:15:00,39.9,17677,Portugal,518.7
500072,TEST001,TEST PRODUCT,9,2011-06-27 13:46:00,2.1,13923,Belgium,18.9
500072,71053,WHITE METAL LANTERN,13,2011-03-14 10:44:00,1.25,17934,France,16.25
500072,21730,GLASS STAR FROSTED T-LIGHT HOLDER,15,2010-11-17 22:38:00,3.75,14369,Belgium,56.25
500073,M,MANUAL,13,2010-04-01 08:20:00,24.5,14011,Germany,318.5
500073,22720,SET OF 3 CAKE TINS PANTRY DESIGN,11,2010-02-24 14:31:00,18.9,14312,United Kingdom,207.9
500074,47566,PARTY BUNTING,5,2010-08-09 18:19:00,2.1,12820,United Kingdom,10.5
500074,DOT,DOTCOM POSTAGE,3,2010-10-13 21:27:00,2.1,17588,Spain,6.3
500074,POST,POSTAGE,15,2010-04-23 09:12:00,39.9,14523,United Kingdom,598.5
500075,85099B,JUMBO BAG RED RETROSPOT,2,2010-03-02 16:49:00,24.5,13141,Spain,49.0
500076,47566,PARTY BUNTING,2,2011-02-01 22:56:00,0.85,14377,Switzerland,1.7
500076,POST,POSTAGE,9,2010-09-02 19:16:00,39.9,12564,Switzerland,359.1
500077,POST,POSTAGE,9,2010-10-04 19:23:00,2.1,16329,Sweden,18.9
500077,POST,POSTAGE,4,2010-03-12 09:22:00,18.9,13454,Netherlands,75.6
500077,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-04-10 17:39:00,3.75,15187,Australia,33.75
500078,M,MANUAL,14,2011-12-01 20:58:00,1.25,15509,Sweden,17.5
500078,47566,PARTY BUNTING,4,2011-05-05 10:00:00,5.95,14167,Switzerland,23.8
500079,84029E,RED WOOLLY HOTTIE WHITE HEART.,2,2011-05-12 22:54:00,39.9,13943,Switzerland,79.8
500079,84406B,CREAM CUPID HEARTS COAT HANGER,18,2011-10-26 10:37:00,3.75,14372,Netherlands,67.5
500079,POST,POSTAGE,13,2010-01-21 12:55:00,39.9,17965,United Kingdom,518.7
500080,POST,POSTAGE,5,2011-04-17 10:23:00,8.5,17551,Sweden,42.5
500080,TEST001,TEST PRODUCT,18,2011-04-05 22:19:00,3.75,16313,Australia,67.5
500081,22423,REGENCY CAKESTAND 3 TIER,1,2011-07-27 19:53:00,18.9,16166,Spain,18.9
500081,TEST001,TEST PRODUCT,16,2011-10-16 22:04:00,0.85,16940,Belgium,13.6
500082,22423,REGENCY CAKESTAND 3 TIER,16,2011-06-30 20:41:00,3.75,15837,Germany,60.0
500082,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-10-13 14:54:00,39.9,13537,Spain,399.0
500082,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2010-02-17 11:52:00,5.95,13418,Spain,71.4
500083,84029E,RED WOOLLY HOTTIE WHITE HEART.,1,2010-04-13 14:30:00,1.25,16537,Sweden,1.25
500083,POST,POSTAGE,3,2011-07-15 21:35:00,1.25,13481,Spain,3.75
500084,22423,REGENCY CAKESTAND 3 TIER,7,2011-02-21 17:25:00,5.95,13162,Netherlands,41.65
500084,85099B,JUMBO BAG RED RETROSPOT,16,2010-10-21 14:48:00,24.5,17289,Netherlands,392.0
500084,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,2011-11-09 12:55:00,1.25,17190,Sweden,11.25
500085,47566,PARTY BUNTING,8,2010-11-13 21:00:00,18.9,16344,Australia,151.2
500085,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2011-05-21 21:33:00,39.9,17415,Netherlands,638.4
500086,84029E,RED WOOLLY HOTTIE WHITE HEART.,17,2010-03-27 13:21:00,0.85,12830,Spain,14.45
500086,DOT,DOTCOM POSTAGE,8,2011-03-27 14:40:00,8.5,13243,Sweden,68.0
500087,M,MANUAL,17,2010-05-21 10:38:00,0.85,14506,Germany,14.45
500087,22423,REGENCY CAKESTAND 3 TIER,8,2011-11-30 12:09:00,2.1,13579,Australia,16.8
500087,84406B,CREAM CUPID HEARTS COAT HANGER,10,2010-05-06 12:51:00,12.75,12900,Portugal,127.5
500088,71053,WHITE METAL LANTERN,3,2010-06-28 09:23:00,3.75,15361,Netherlands,11.25
500088,84406B,CREAM CUPID HEARTS COAT HANGER,13,2010-09-28 10:59:00,3.75,12399,United Kingdom,48.75
500089,84406B,CREAM CUPID HEARTS COAT HANGER,1,2010-11-13 11:49:00,3.75,17692,Australia,3.75
500089,M,MANUAL,7,2010-06-03 16:38:00,1.25,17014,Belgium,8.75
500089,85099B,JUMBO BAG RED RETROSPOT,4,2010-04-01 10:54:00,18.9,16324,United Kingdom,75.6
500090,POST,POSTAGE,1,2011-05-25 21:37:00,2.1,14111,Netherlands,2.1
500090,84879,ASSORTED COLOUR BIRD ORNAMENT,8,2010-09-28 14:44:00,5.95,15810,Belgium,47.6
500091,22423,REGENCY CAKESTAND 3 TIER,5,2010-06-15 19:03:00,24.5,12522,United Kingdom,122.5
500091,71053,WHITE METAL LANTERN,13,2011-08-30 16:16:00,24.5,14720,Spain,318.5
500092,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,2011-03-19 20:30:00,5.95,13711,Belgium,17.85
500092,84406B,CREAM CUPID HEARTS COAT HANGER,8,2010-04-02 13:25:00,3.75,17004,Switzerland,30.0
500092,POST,POSTAGE,17,2011-03-22 17:42:00,2.1,13578,United Kingdom,35.7
500093,POST,POSTAGE,4,2011-06-04 17:40:00,12.75,16447,Switzerland,51.0
500093,84879,ASSORTED COLOUR BIRD ORNAMENT,10,2010-06-22 14:30:00,5.95,14194,France,59.5
500094,22720,SET OF 3 CAKE TINS PANTRY DESIGN,2,2010-11-23 17:56:00,8.5,13327,France,17.0
500094,POST,POSTAGE,17,2010-11-19 21:58:00,8.5,14333,Germany,144.5
500094,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2011-02-21 17:02:00,2.1,15801,Belgium,21.0
500095,47566,PARTY BUNTING,12,2011-02-19 17:37:00,1.25,16358,Portugal,15.0
500095,71053,WHITE METAL LANTERN,12,2011-10-11 13:14:00,39.9,16973,Sweden,478.8
500096,DOT,DOTCOM POSTAGE,10,2011-10-01 19:02:00,3.75,12881,Belgium,37.5
500096,84406B,CREAM CUPID HEARTS COAT HANGER,8,2011-01-10 16:38:00,2.1,14022,Portugal,16.8
500097,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2011-07-17 15:58:00,3.75,13144,Switzerland,33.75
500097,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,2010-02-03 09:00:00,5.95,15469,Belgium,35.7
500097,POST,POSTAGE,1,2010-02-14 20:44:00,0.85,13315,Sweden,0.85
500098,84879,ASSORTED COLOUR BIRD ORNAMENT,1,2010-02-04 12:07:00,39.9,16397,United Kingdom,39.9
500098,84029E,RED WOOLLY HOTTIE WHITE HEART.,4,2011-08-20 12:59:00,3.75,14193,Netherlands,15.0
500099,71053,WHITE METAL LANTERN,7,2011-04-08 14:11:00,1.25,15961,United Kingdom,8.75
500099,85123A,WHITE HANGING HEART T-LIGHT HOLDER,11,2010-10-26 10:13:00,24.5,12471,France,269.5
500100,DOT,DOTCOM POSTAGE,10,2010-09-13 16:07:00,8.5,14039,Switzerland,85.0
500100,84406B,CREAM CUPID HEARTS COAT HANGER,14,2011-07-26 15:58:00,18.9,12920,United Kingdom,264.6
500101,21730,GLASS STAR FROSTED T-LIGHT HOLDER,11,2010-02-01 16:14:00,18.9,16353,Spain,207.9
500102,POST,POSTAGE,17,2011-05-26 16:40:00,5.95,17262,Belgium,101.15
500102,22720,SET OF 3 CAKE TINS PANTRY DESIGN,5,2011-10-06 10:09:00,0.85,12730,Switzerland,4.25
500102,84406B,CREAM CUPID HEARTS COAT HANGER,15,2010-03-25 15:22:00,8.5,13768,Sweden,127.5
500103,DOT,DOTCOM POSTAGE,16,2010-03-12 10:20:00,1.25,13085,Switzerland,20.0
500103,DOT,DOTCOM POSTAGE,16,2010-08-30 14:18:00,18.9,17995,France,302.4
500104,84029E,RED WOOLLY HOTTIE WHITE HEART.,12,2011-10-09 16:16:00,39.9,15694,Spain,478.8
500104,85123A,WHITE HANGING HEART T-LIGHT HOLDER,17,2010-05-19 17:43:00,3.75,15298,United Kingdom,63.75
500104,DOT,DOTCOM POSTAGE,7,2011-04-13 13:58:00,12.75,13132,Spain,89.25
500105,POST,POSTAGE,6,2011-06-06 12:58:00,18.9,15164,Netherlands,113.4
500105,TEST001,TEST PRODUCT,6,2010-10-25 15:22:00,24.5,13953,Australia,147.0
500106,M,MANUAL,6,2010-12-14 22:22:00,2.1,14482,Sweden,12.6
500106,TEST001,TEST PRODUCT,11,2011-03-20 18:33:00,12.75,12526,Spain,140.25
500107,84879,ASSORTED COLOUR BIRD ORNAMENT,9,2010-10-21 22:53:00,1.25,16416,Sweden,11.25
500107,22720,SET OF 3 CAKE TINS PANTRY DESIGN,7,2011-09-24 22:49:00,24.5,17681,Netherlands,171.5
500107,47566,PARTY BUNTING,2,2011-09-23 20:45:00,1.25,13763,Switzerland,2.5
500108,47566,PARTY BUNTING,15,2010-12-01 21:20:00,5.95,13521,France,89.25
500108,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,2010-09-22 18:46:00,1.25,17795,Germany,12.5
500109,22720,SET OF 3 CAKE TINS PANTRY DESIGN,12,2010-01-30 21:48:00,12.75,15246,Portugal,153.0
500109,M,MANUAL,5,2010-11-17 13:05:00,1.25,15306,Switzerland,6.25
